sale_number,cust_key,item_name,qty,unit_price,purchase_date
S120,CUST22,TV,1,819.38,2025-10-13
S121,CUST25,Tablet,3,1104.7,2026-06-11
S122,CUST105,Phone,2,199.07,2025-01-14
S123,CUST33,Phone,2,923.48,2024-11-16
S124,CUST98,TV,2,1429.37,2026-04-11
S125,CUST81,Speaker,4,1143.95,2026-05-21
S126,CUST98,Camera,4,1037.64,2024-08-01
S127,CUST113,Camera,3,1303.16,2025-04-04
S128,CUST81,Tablet,2,687.66,2024-10-18
S129,CUST61,Speaker,3,1204.68,2025-08-18
S130,CUST76,TV,3,785.64,2024-07-08
S131,CUST40,Speaker,4,104.53,2025-10-19
S132,CUST48,Tablet,1,984.77,2025-12-30
S133,CUST110,TV,4,720.93,2026-02-06
S134,CUST71,TV,4,1368.12,2026-05-05
S135,CUST74,Phone,3,927.26,2025-05-14
S136,CUST65,Phone,1,703.26,2025-05-20
S137,CUST104,Tablet,1,781.6,2026-03-23
S138,CUST23,TV,2,1076.05,2025-09-04
S139,CUST57,Camera,2,577.65,2025-05-05
S140,CUST118,Tablet,4,642.72,2025-02-27
S141,CUST44,Camera,1,1194.38,2025-02-20
S142,CUST83,Tablet,1,528.05,2024-08-05
S143,CUST72,Speaker,3,415.39,2026-03-18
S144,CUST110,Camera,2,533.37,2025-07-23
S145,CUST75,Phone,3,499.84,2025-03-30
S146,CUST84,Speaker,2,912.81,2026-02-26
S147,CUST11,Tablet,4,983.07,2024-06-29
S148,CUST43,Phone,1,986.74,2024-06-27
S149,CUST55,Camera,3,76.43,2025-02-16
S150,CUST40,Phone,2,545.51,2025-04-27
S151,CUST99,Speaker,2,378.49,2024-10-02
S152,CUST18,Phone,1,478.9,2026-02-24
S153,CUST101,TV,1,1009.8,2025-06-21
S154,CUST113,Camera,2,916.01,2026-03-15
S155,CUST20,Phone,2,1255.45,2025-05-03
S156,CUST99,Camera,2,1095.72,2026-05-12
S157,CUST6,Speaker,3,1030.73,2026-01-08
S158,CUST31,Speaker,3,1140.97,2025-12-13
S159,CUST101,Speaker,2,824.32,2025-02-26
S160,CUST40,Speaker,2,583.37,2024-06-25
S161,CUST74,Speaker,4,1165.69,2024-10-26
S162,CUST100,Speaker,4,1451.09,2025-12-29
S163,CUST105,Phone,2,1315.85,2026-01-17
S164,CUST7,Speaker,3,854.08,2025-05-09
S165,CUST14,Camera,1,463.34,2025-07-15
S166,CUST98,Phone,3,701.51,2024-07-31
S167,CUST66,Phone,4,182.98,2025-01-02
S168,CUST117,Phone,4,1332.71,2024-07-20
S169,CUST120,TV,4,127.22,2025-04-12
S170,CUST65,Tablet,2,609.94,2025-07-16
S171,CUST11,Tablet,2,90.87,2025-04-28
S172,CUST120,TV,3,1197.5,2025-07-13
S173,CUST18,TV,3,1380.22,2025-03-01
S174,CUST61,Phone,4,700.47,2026-01-01
S175,CUST1,TV,1,421.09,2025-10-08
S176,CUST107,Phone,4,211.22,2025-09-29
S177,CUST37,Phone,3,226.68,2024-09-27
S178,CUST31,Speaker,4,141.07,2026-04-20
S179,CUST108,Speaker,1,966.33,2026-04-09
S180,CUST74,Phone,2,472.34,2025-10-06
S181,CUST1,Camera,3,398.82,2025-04-14
S182,CUST54,Phone,1,809.05,2025-09-09
S183,CUST47,TV,1,616.16,2024-10-31
S184,CUST61,TV,4,1472.51,2024-06-27
S185,CUST33,TV,3,1193.35,2025-05-21
S186,CUST45,Phone,1,1168.68,2026-01-29
S187,CUST95,Tablet,2,114.29,2026-05-05
S188,CUST70,Tablet,2,1254.06,2026-03-04
S189,CUST88,Speaker,4,966.02,2025-03-10
S190,CUST104,Phone,1,1088.27,2026-03-29
S191,CUST59,TV,3,342.31,2024-09-13
S192,CUST102,Phone,1,507.61,2026-01-24
S193,CUST40,Camera,4,1484.23,2024-09-17
S194,CUST70,Speaker,3,103.1,2026-02-15
S195,CUST83,Phone,3,567.61,2026-05-29
S196,CUST100,TV,3,446.16,2025-04-21
S197,CUST103,Tablet,4,1339.76,2025-10-03
S198,CUST96,Speaker,4,541.6,2025-11-02
S199,CUST24,Speaker,4,582.65,2024-08-10
S200,CUST103,Camera,3,1211.66,2025-07-17
S201,CUST94,Speaker,1,674.38,2025-06-08
S202,CUST106,Phone,3,515.76,2025-09-09
S203,CUST11,Tablet,3,494.42,2026-01-04
S204,CUST78,Speaker,2,1050.16,2025-09-05
S205,CUST45,Speaker,1,1103.88,2025-11-04
S206,CUST117,Tablet,4,448.11,2025-05-29
S207,CUST102,TV,1,1023.22,2025-11-03
S208,CUST52,Tablet,2,1431.54,2026-04-25
S209,CUST19,Camera,4,100.46,2024-08-26
S210,CUST9,Phone,3,575.12,2025-09-20
S211,CUST73,TV,2,1034.64,2025-12-09
S212,CUST48,Tablet,4,1156.47,2024-08-03
S213,CUST74,Phone,3,627.15,2025-08-07
S214,CUST84,Tablet,2,1442.75,2025-03-24
S215,CUST4,Phone,4,800.73,2026-05-09
S216,CUST117,Camera,1,429.58,2024-11-21
S217,CUST34,Speaker,2,1494.73,2025-06-21
S218,CUST37,Speaker,2,227.82,2026-06-13
S219,CUST110,TV,4,300.35,2024-12-03
S220,CUST92,Speaker,1,1225.24,2025-03-03
S221,CUST109,Tablet,3,1078.83,2025-03-14
S222,CUST71,Camera,3,1342.43,2026-04-07
S223,CUST109,Phone,2,1200.86,2025-03-25
S224,CUST66,Phone,1,1478.44,2025-02-12
S225,CUST102,Phone,2,1196.04,2025-06-27
S226,CUST4,Tablet,3,727.74,2025-11-10
S227,CUST71,Phone,1,145.33,2025-02-08
S228,CUST51,Speaker,4,1165.29,2025-04-01
S229,CUST106,Camera,1,231.72,2026-02-01
S230,CUST41,TV,4,725.46,2026-01-02
S231,CUST67,Tablet,2,1323.04,2025-02-08
S232,CUST100,Camera,2,1163.28,2024-12-12
S233,CUST17,Speaker,1,1255.52,2025-11-07
S234,CUST67,Phone,3,288.75,2025-01-14
S235,CUST42,Phone,3,1423.85,2026-02-19
S236,CUST67,Tablet,1,413.38,2024-09-12
S237,CUST82,Camera,3,231.5,2026-05-27
S238,CUST39,Camera,1,778.73,2026-06-04
S239,CUST22,Camera,2,298.24,2025-09-28
S240,CUST80,Camera,3,1271.67,2025-09-15
S241,CUST73,TV,1,167.77,2025-07-25
S242,CUST83,Camera,3,994.14,2025-03-07
S243,CUST99,Camera,4,946.26,2026-04-15
S244,CUST4,Speaker,3,980.77,2025-06-12
S245,CUST39,Speaker,2,1216.8,2024-08-14
S246,CUST88,Speaker,3,707.64,2025-02-17
S247,CUST89,TV,2,687.43,2025-04-16
S248,CUST62,Speaker,2,543.28,2026-03-05
S249,CUST19,Tablet,3,1114.59,2025-06-15
S250,CUST111,Tablet,4,239.61,2025-11-25
S251,CUST48,Camera,1,512.72,2025-09-02
S252,CUST60,TV,3,701.91,2024-12-07
S253,CUST19,TV,1,470.81,2026-04-11
S254,CUST50,Camera,4,409.99,2026-03-06
S255,CUST111,Phone,3,1403.94,2026-03-18
S256,CUST93,Tablet,2,1156.53,2024-10-01
S257,CUST64,Camera,4,773.2,2025-07-09
S258,CUST40,Speaker,1,180.57,2025-12-04
S259,CUST51,Camera,4,1451.7,2026-01-01
S260,CUST28,Camera,3,120.55,2025-10-29
S261,CUST37,Speaker,4,464.34,2025-06-14
S262,CUST2,TV,4,244.21,2026-04-12
S263,CUST34,Tablet,4,580.61,2024-07-30
S264,CUST52,TV,2,575.66,2024-09-30
S265,CUST37,TV,4,781.17,2024-06-27
S266,CUST98,Camera,3,1246.7,2025-08-20
S267,CUST80,Camera,1,236.56,2026-04-29
S268,CUST13,Speaker,3,1202.6,2025-08-01
S269,CUST44,Camera,3,1144.7,2025-03-27
S270,CUST26,Camera,4,775.11,2025-04-19
S271,CUST6,TV,2,1084.71,2025-07-01
S272,CUST103,Speaker,4,265.96,2026-01-23
S273,CUST115,Camera,2,525.55,2025-11-01
S274,CUST79,Tablet,2,619.78,2024-10-22
S275,CUST79,Tablet,3,785.61,2024-12-28
S276,CUST66,Camera,4,1077.67,2024-12-19
S277,CUST39,Speaker,1,584.12,2025-10-20
S278,CUST87,TV,4,896.37,2026-06-04
S279,CUST102,TV,4,435.02,2025-07-07
S280,CUST84,Camera,2,1096.03,2024-11-26
S281,CUST75,Speaker,2,810.14,2024-06-29
S282,CUST93,Camera,4,264.27,2026-05-26
S283,CUST88,Phone,1,880.23,2025-09-08
S284,CUST90,TV,2,77.46,2024-07-18
S285,CUST41,Speaker,2,648.79,2024-07-13
S286,CUST27,Speaker,4,1315.59,2025-11-27
S287,CUST95,TV,2,802.09,2026-04-21
S288,CUST72,Tablet,4,811.94,2024-10-25
S289,CUST41,Phone,4,1372.58,2026-01-22
S290,CUST44,Camera,3,1030.01,2025-09-17
S291,CUST112,Tablet,4,328.78,2024-08-24
S292,CUST32,Tablet,3,376.06,2024-10-16
S293,CUST39,Tablet,2,1050.85,2025-12-17
S294,CUST63,Tablet,4,555.76,2024-07-21
S295,CUST120,Tablet,3,226.72,2025-09-26
S296,CUST87,Camera,4,1348.85,2024-11-23
S297,CUST51,Tablet,2,471.16,2025-01-02
S298,CUST37,TV,3,1389.81,2024-07-07
S299,CUST84,Tablet,4,360.28,2024-10-03
S300,CUST106,Camera,3,1402.88,2026-01-22
