transaction_id,member_id,points_earned,tier,activity_date
T177,M7,60,Platinum,2025-04-18
T178,M30,439,Bronze,2024-08-06
T179,M44,319,Platinum,2025-07-13
T180,M42,25,Gold,2025-07-15
T181,M58,261,Silver,2025-03-11
T182,M46,293,Platinum,2024-08-25
T183,M56,105,Platinum,2026-02-25
T184,M11,405,Gold,2026-04-15
T185,M32,375,Bronze,2025-01-01
T186,M11,147,Silver,2024-08-31
T187,M49,374,Silver,2025-03-16
T188,M50,172,Gold,2025-03-21
T189,M14,56,Bronze,2024-08-27
T190,M40,237,Gold,2024-11-08
T191,M35,62,Silver,2026-06-01
T192,M12,105,Platinum,2024-11-11
T193,M58,295,Platinum,2025-11-12
T194,M14,23,Bronze,2025-11-28
T195,M46,293,Bronze,2026-01-01
T196,M77,316,Gold,2024-11-17
T197,M50,16,Gold,2026-01-24
T198,M53,208,Bronze,2025-01-28
T199,M72,473,Silver,2025-08-14
T200,M74,276,Silver,2025-11-11
T201,M88,204,Silver,2026-02-03
T202,M18,147,Gold,2026-03-29
T203,M35,262,Silver,2025-08-07
T204,M9,95,Platinum,2024-12-04
T205,M36,225,Gold,2024-12-18
T206,M62,410,Bronze,2025-11-07
T207,M47,138,Silver,2024-06-24
T208,M81,263,Silver,2025-09-19
T209,M59,64,Silver,2026-01-13
T210,M39,13,Platinum,2026-01-25
T211,M43,440,Platinum,2026-06-14
T212,M43,235,Gold,2024-06-28
T213,M56,427,Silver,2025-03-02
T214,M39,174,Silver,2025-03-29
T215,M62,170,Silver,2026-04-24
T216,M51,173,Gold,2025-06-23
T217,M89,334,Platinum,2025-09-05
T218,M74,410,Silver,2025-06-26
T219,M42,202,Gold,2025-06-22
T220,M51,196,Bronze,2026-06-08
