order_id,customer_id,product,quantity,price,order_date
10058,24,Keyboard,4,314.77,2024-12-09
10059,10,Headphones,5,135.53,2024-10-27
10060,84,Monitor,1,1163.42,2024-12-02
10061,97,Mouse,2,499.57,2025-07-05
10062,62,Mouse,4,1084.88,2025-05-16
10063,22,Headphones,1,1182.66,2026-06-11
10064,34,Headphones,3,519.15,2025-08-07
10065,94,Monitor,4,202.66,2026-03-05
10066,38,Mouse,1,703.43,2025-11-27
10067,70,Laptop,3,87.46,2025-05-16
10068,75,Headphones,5,1104.88,2025-11-16
10069,68,Mouse,1,1153.72,2025-06-17
10070,11,Mouse,1,722.14,2025-02-19
10071,87,Mouse,4,161.47,2025-03-15
10072,73,Mouse,5,721.53,2025-04-23
10073,80,Laptop,4,795.7,2025-08-17
10074,73,Monitor,3,1122.95,2026-02-12
10075,27,Keyboard,2,333.43,2024-07-23
10076,17,Keyboard,4,393.09,2026-04-09
10077,97,Laptop,1,560.78,2024-07-01
10078,73,Laptop,1,654.41,2026-03-01
10079,65,Keyboard,2,1121.25,2024-12-03
10080,9,Mouse,3,356.29,2025-06-03
10081,57,Monitor,3,741.78,2024-10-17
10082,84,Monitor,1,808.08,2025-08-31
10083,71,Keyboard,1,1127.94,2025-06-30
10084,18,Keyboard,1,1069.86,2025-07-12
10085,96,Monitor,2,341.37,2026-05-06
10086,78,Mouse,3,260.24,2025-09-03
10087,82,Keyboard,5,596.47,2025-05-10
10088,7,Laptop,4,998.63,2024-09-11
10089,6,Laptop,3,929.92,2025-11-27
10090,82,Keyboard,2,894.65,2024-09-20
10091,71,Headphones,5,31.41,2025-10-29
10092,10,Mouse,5,62.51,2025-07-07
10093,48,Monitor,5,194.75,2024-08-19
10094,17,Laptop,3,450.29,2024-08-01
10095,6,Keyboard,2,824.84,2026-04-23
10096,86,Laptop,3,940.54,2024-10-07
10097,53,Monitor,2,1112.4,2025-01-28
10098,31,Mouse,2,1060.07,2026-04-07
10099,4,Mouse,3,943.22,2026-04-16
10100,53,Mouse,3,207.85,2026-06-14
10101,90,Laptop,4,1049.16,2026-04-04
10102,61,Mouse,2,983.57,2025-05-11
10103,59,Keyboard,3,988.23,2025-06-21
10104,30,Mouse,1,798.84,2025-12-29
10105,52,Keyboard,3,1039.94,2024-07-27
10106,99,Keyboard,3,776.95,2025-10-22
10107,52,Monitor,3,1128.3,2025-03-17
10108,15,Keyboard,2,705.1,2024-09-03
10109,34,Laptop,1,723.95,2026-06-04
10110,45,Keyboard,4,735.33,2025-09-23
10111,66,Laptop,4,1081.42,2024-10-08
10112,25,Keyboard,1,856.37,2025-03-26
10113,1,Monitor,5,830.49,2025-10-10
10114,95,Mouse,3,528.93,2025-01-10
10115,86,Keyboard,5,390.42,2025-01-30
10116,16,Keyboard,5,384.96,2025-11-23
10117,53,Keyboard,4,842.71,2024-12-11
10118,71,Mouse,2,516.13,2025-04-10
10119,49,Mouse,5,691.54,2025-11-12
10120,52,Monitor,1,378.57,2025-05-01
10121,27,Headphones,5,735.86,2026-04-21
10122,42,Headphones,4,541.75,2025-09-13
10123,28,Monitor,4,956.61,2026-01-28
10124,95,Mouse,1,354.87,2024-06-30
10125,85,Monitor,3,130.2,2025-04-15
10126,97,Mouse,3,285.08,2024-12-14
10127,26,Mouse,1,74.53,2024-08-20
10128,61,Monitor,1,557.39,2025-04-09
10129,81,Monitor,2,867.65,2025-05-21
10130,50,Headphones,4,307.9,2025-03-13
10131,84,Laptop,1,938.54,2025-11-07
10132,29,Mouse,5,568.17,2025-04-28
10133,72,Mouse,1,558.62,2025-06-08
10134,60,Monitor,5,722.63,2026-04-17
10135,97,Headphones,5,981.71,2025-04-10
10136,65,Headphones,5,546.18,2025-10-07
10137,21,Headphones,4,325.85,2026-02-07
10138,32,Keyboard,5,591.82,2025-02-26
10139,31,Keyboard,4,111.43,2025-08-12
10140,37,Mouse,3,416.3,2025-06-05
10141,70,Laptop,2,197.98,2025-04-09
10142,50,Mouse,2,95.79,2024-10-19
10143,53,Keyboard,5,569.79,2026-03-25
10144,8,Mouse,4,479.58,2025-06-26
10145,99,Monitor,1,1030.94,2025-03-10
10146,98,Monitor,4,582.84,2026-06-13
10147,46,Keyboard,4,1027.07,2025-11-03
10148,54,Monitor,5,963.84,2025-10-29
10149,29,Headphones,2,342.06,2026-03-14
10150,63,Laptop,4,416.63,2025-10-17
10151,87,Headphones,2,1011.8,2026-04-13
10152,17,Monitor,5,51.82,2025-04-13
10153,51,Monitor,5,802.34,2024-09-12
10154,11,Headphones,2,1042.88,2024-08-14
10155,24,Laptop,3,467.34,2026-02-19
10156,28,Headphones,3,418.25,2025-03-22
10157,49,Keyboard,4,317.68,2025-03-30
10158,11,Headphones,1,903.85,2026-06-18
10159,7,Keyboard,2,787.17,2026-02-09
10160,100,Laptop,1,1140.54,2025-04-30
10161,26,Laptop,5,199.81,2026-02-23
10162,17,Headphones,1,685.48,2024-09-22
10163,28,Headphones,3,924.94,2024-08-01
10164,22,Monitor,5,1157.21,2024-09-07
10165,92,Laptop,2,1158.37,2025-12-09
10166,14,Monitor,1,1116.09,2025-10-12
10167,74,Headphones,4,1130.94,2025-01-24
10168,26,Laptop,5,834.93,2025-02-12
10169,81,Mouse,1,842.69,2025-05-06
10170,39,Monitor,1,959.55,2025-07-24
10171,73,Laptop,3,648.64,2024-11-22
10172,85,Keyboard,1,617.03,2026-01-01
10173,44,Laptop,4,990.35,2026-04-06
10174,14,Headphones,3,769.99,2026-05-17
10175,59,Mouse,4,227.84,2024-07-12
10176,67,Keyboard,5,973.68,2025-09-24
10177,69,Headphones,4,533.98,2025-10-30
10178,94,Monitor,3,400.32,2025-12-23
10179,32,Laptop,3,1060.32,2025-12-03
10180,32,Headphones,5,740.19,2026-01-04
10181,49,Keyboard,1,603.28,2025-10-02
10182,42,Mouse,4,270.3,2025-01-17
10183,34,Keyboard,3,1058.78,2024-10-23
10184,90,Keyboard,5,31.98,2026-04-23
10185,25,Laptop,2,869.69,2025-08-11
10186,63,Monitor,2,834.92,2026-05-29
10187,83,Headphones,4,955.66,2025-11-03
10188,12,Keyboard,2,497.19,2025-01-05
10189,32,Keyboard,5,455.44,2025-03-24
10190,71,Monitor,3,522.09,2025-11-07
10191,96,Monitor,3,435.14,2025-01-15
10192,59,Keyboard,3,316.66,2024-11-03
10193,16,Mouse,3,161.07,2025-03-24
10194,69,Mouse,2,275.33,2024-11-08
10195,62,Keyboard,5,1172.4,2025-06-28
10196,68,Monitor,3,1177.0,2025-03-12
10197,25,Keyboard,2,445.84,2026-02-19
10198,39,Laptop,5,169.37,2025-09-07
10199,6,Laptop,5,364.72,2025-01-04
10200,17,Headphones,1,1049.81,2025-05-16
10201,74,Keyboard,4,584.88,2025-02-08
10202,44,Mouse,1,317.92,2025-04-08
10203,62,Laptop,1,492.83,2025-10-23
10204,10,Monitor,1,199.04,2026-06-16
10205,73,Keyboard,1,1192.82,2024-07-25
10206,16,Monitor,4,735.45,2025-08-11
10207,80,Mouse,5,468.85,2024-10-20
10208,57,Keyboard,5,1188.24,2024-10-04
10209,40,Monitor,5,91.07,2026-03-10
10210,95,Laptop,2,758.11,2025-06-05
10211,34,Laptop,2,303.04,2025-11-14
10212,71,Laptop,2,23.16,2026-01-25
10213,58,Monitor,4,363.69,2025-01-07
10214,30,Keyboard,3,849.53,2025-07-01
10215,59,Laptop,2,1110.22,2025-11-30
10216,81,Monitor,2,521.66,2025-07-29
10217,70,Mouse,2,1091.93,2026-03-25
10218,19,Laptop,1,215.79,2026-05-30
10219,40,Monitor,5,1107.01,2024-12-11
10220,57,Laptop,4,832.64,2026-06-03
10221,90,Headphones,3,610.56,2025-11-26
10222,64,Headphones,1,725.68,2026-06-14
10223,56,Keyboard,5,315.43,2025-03-19
10224,12,Mouse,5,712.81,2026-06-21
10225,3,Keyboard,5,67.47,2026-06-17
10226,97,Mouse,4,632.38,2025-02-10
10227,57,Keyboard,2,1196.4,2026-02-21
10228,56,Headphones,1,574.61,2024-09-19
10229,53,Keyboard,3,810.76,2025-10-17
10230,21,Keyboard,4,838.53,2025-02-01
10231,37,Headphones,5,63.3,2026-04-22
10232,12,Keyboard,3,401.46,2025-04-02
10233,99,Headphones,5,993.41,2025-05-10
10234,1,Monitor,4,507.63,2025-10-26
10235,25,Monitor,3,754.71,2025-08-20
10236,64,Headphones,1,260.2,2025-06-13
10237,71,Mouse,3,536.98,2025-10-03
10238,90,Headphones,1,54.07,2025-08-21
10239,81,Monitor,2,857.54,2025-09-05
10240,40,Monitor,1,671.66,2025-02-03
10241,12,Mouse,1,564.51,2024-12-20
10242,16,Mouse,4,1120.53,2026-01-09
10243,38,Monitor,3,510.28,2025-02-24
10244,62,Headphones,2,559.01,2024-12-31
10245,19,Headphones,2,1107.8,2024-06-30
10246,66,Mouse,1,345.97,2026-05-12
10247,54,Keyboard,5,335.26,2025-12-21
10248,1,Keyboard,3,1008.22,2025-03-26
10249,75,Headphones,2,546.93,2026-05-09
